"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs73227498-<b>A</b>,"3 x 10-10",,0.872,1.37,'-,1.23-1.49,EPB41L4A,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,5:112150207
rs7902587-<b>T</b>,"5 x 10-11",,0.109,1.41,'-,1.27-1.56,"STN1, SLK","Thyroid cancer","thyroid carcinoma",'-,GCST004144,10:103934543
rs2289261-<b>C</b>,"3 x 10-9",,0.683,1.23,'-,1.15-1.32,SMAD3,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,15:67165147
rs56062135-<b>T</b>,"5 x 10-9",,0.253,1.24,'-,1.16.1.34,SMAD3,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,15:67163292
rs10069690-<b>T</b>,"3 x 10-7",,0.275,1.2,'-,1.12-1.29,TERT,"Thyroid cancer","thyroid carcinoma",'-,GCST004144,5:1279675
rs11947482-<b>T</b>,"6 x 10-8",,NR,6.257822,'-,NR,"LINC02482, LINC02481","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,4:6684345
rs117401978-<b>A</b>,"9 x 10-7",,0.010953,2.3992324,'-,NR,"CNEP1R1, NCOA5LP","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,16:50013888
rs114692817-<b>T</b>,"7 x 10-7",,0.014383,2.3573785,'-,NR,THEGL,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,4:56567030
rs74518511-<b>T</b>,"9 x 10-7",,0.017275,2.3485205,'-,NR,HTATIP2,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,11:20338417
rs76032629-<b>A</b>,"6 x 10-7",,0.040918,1.6798253,'-,NR,"MIR302CHG, LARP7","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,4:112649292
rs72806259-<b>T</b>,"5 x 10-7",,0.093896,1.4887599,'-,NR,"SPOCK2, CHST3","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,10:72033486
rs772695095-<b>T</b>,"4 x 10-12",,NR,1.459428,'-,NR,DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,2:217401716
rs77166399-<b>T</b>,"9 x 10-7",,0.148487,1.3925636,'-,NR,LINC00923,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,15:97673727
rs6697759-<b>T</b>,"4 x 10-7",,0.439535,1.2991,'-,NR,"LINC02869, TGFB2","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,1:218449752
chr2:173859846-<b>TA</b>,"3 x 10-8",,NR,1.3563,'-,NR,'-,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,"Mapping not available"
rs2466074-<b>C</b>,"5 x 10-11",,NR,1.4123,'-,NR,NRG1,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,8:32575620
rs12002967-<b>C</b>,"3 x 10-7",,NR,1.5614,'-,NR,"FOXE1, TRMO","Thyroid cancer","thyroid carcinoma",'-,GCST90011813,9:97886005
rs7030280-<b>C</b>,"5 x 10-28",,NR,1.7654,'-,NR,PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,9:97772985
rs555678255-<b>C</b>,"8 x 10-7",,0.898888,1.9582,'-,NR,SPATA5,"Thyroid cancer","thyroid carcinoma",'-,GCST90011813,4:156130312
rs965513-<b>A</b>,"2 x 10-27",,0.34,1.75,'-,[1.59-1.94],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST000335,9:97793827
rs944289-<b>T</b>,"2 x 10-9",,0.57,1.37,'-,[1.24-1.52],"PTCSC3, RN7SKP21","Thyroid cancer","thyroid carcinoma",'-,GCST000335,14:36180040
rs965513-<b>A</b>,"3 x 10-10",,NR,1.78,'-,[NR],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST002102,9:97793827
rs6759952-<b>T</b>,"6 x 10-10",,0.43,1.25,'-,[1.16-1.34],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST002102,2:217406996
rs965513-<b>A</b>,"5 x 10-12",,NR,1.65,'-,[1.43-1.91],PTCSC2,"Thyroid cancer (Papillary, radiation-related)","thyroid carcinoma",'-,GCST000640,9:97793827
rs966423-<b>C</b>,"1 x 10-9",,0.442,1.34,'-,[1.22-1.47],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST001382,2:217445617
rs2439302-<b>G</b>,"2 x 10-9",,0.351,1.36,'-,[1.23-1.50],NRG1,"Thyroid cancer","thyroid carcinoma",'-,GCST001382,8:32574851
rs116909374-<b>T</b>,"5 x 10-11",,0.017,2.09,'-,[1.68-2.60],"RN7SKP21, MBIP","Thyroid cancer","thyroid carcinoma",'-,GCST001382,14:36269155
rs925489-<b>T</b>,"5 x 10-11",,0.332,'-,'-,'-,PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST008371,9:97784318
rs10122541-<b>G</b>,"1 x 10-17",,0.33,1.54,'-,[1.40-1.70],"TRMO, FOXE1","Thyroid cancer","thyroid carcinoma",'-,GCST002873,9:97865986
rs7037324-<b>A</b>,"1 x 10-17",,0.34,1.54,'-,[1.39-1.70],"FOXE1, TRMO","Thyroid cancer","thyroid carcinoma",'-,GCST002873,9:97896036
rs965513-<b>A</b>,"3 x 10-23",,0.34,1.65,'-,[1.49-1.82],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST002873,9:97793827
rs16857609-<b>T</b>,"2 x 10-13",,NR,'-,"0.3027 unit increase",[0.22-0.38],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90018929,2:217431785
rs9642727-<b>C</b>,"3 x 10-9",,NR,'-,"0.2352 unit increase",[0.16-0.31],NRG1,"Thyroid cancer","thyroid carcinoma",'-,GCST90018929,8:32556514
rs925489-<b>T</b>,"9 x 10-35",,NR,'-,"0.5586 unit decrease",[0.47-0.65],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST90018929,9:97784318
rs13295081-<b>C</b>,"3 x 10-15",,NR,'-,"0.464 unit increase",[0.35-0.58],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST90245887,9:97796729
rs16857611-<b>C</b>,"2 x 10-8",,NR,'-,"0.349 unit increase",[0.23-0.47],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90245887,2:217432009
rs17716295-<b>A</b>,"4 x 10-6",,NR,'-,"0.185 unit increase",[0.11-0.26],NRG1,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,8:32460401
rs3744962-<b>G</b>,"3 x 10-7",,NR,'-,"0.32 unit increase",[0.2-0.44],ENOSF1,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,18:674320
rs1169151-<b>A</b>,"2 x 10-7",,NR,'-,"0.205 unit increase",[0.13-0.28],PTCSC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,14:36171395
rs2618148-<b>T</b>,"5 x 10-12",,NR,'-,"0.278 unit increase",[0.2-0.36],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,2:217439383
rs965513-<b>G</b>,"6 x 10-40",,NR,'-,"0.519 unit decrease",[0.44-0.6],PTCSC2,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,9:97793827
rs4743149-<b>A</b>,"5 x 10-6",,NR,'-,"0.262 unit increase",[0.15-0.38],"HEMGN, ANP32B","Thyroid cancer","thyroid carcinoma",'-,GCST90245888,9:97964292
rs11622885-<b>C</b>,"5 x 10-6",,NR,'-,"0.178 unit increase",[0.1-0.25],LINC00609,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,14:36095036
rs1478581-<b>A</b>,"7 x 10-7",,NR,'-,"0.236 unit increase",[0.14-0.33],DIRC3,"Thyroid cancer","thyroid carcinoma",'-,GCST90245888,2:217427929
rs10512256-<b>G</b>,"3 x 10-6",,NR,'-,"0.269 unit increase",[0.16-0.38],"HEMGN, TRMO","Thyroid cancer","thyroid carcinoma",'-,GCST90245888,9:97924533
rs27982-<b>C</b>,"2 x 10-7",,NR,'-,"0.281 unit decrease",[0.18-0.39],"EPB41L4A, NREP-AS1","Thyroid cancer","thyroid carcinoma",'-,GCST90245888,5:112128140
chr10:109676254-<b>?</b>,"4 x 10-8",,NR,'-,"0.39524 unit increase",[0.25-0.54],'-,"Thyroid cancer","thyroid carcinoma",'-,GCST90255474,"Mapping not available"
