CHR_ID	CHR_POS	SNPS	P-VALUE
7	46054491	rs80077929	4E-07
7	46849813	rs4236382	5E-13
7	47471143	rs6948177	1E-17
5	40282004	rs1445012	7E-35
5	83585436	rs3930345	7E-09
5	135163402	rs647161	9E-18
5	150166863	rs2302274	2E-14
5	172897555	rs472959	5E-09
6	6749556	rs1294437	1E-08
6	7231610	rs9379084	2E-12
6	12292539	rs2070699	4E-15
6	28894840	rs209142	4E-08
6	31042408	rs116353863	3E-09
6	31094890	rs2517448	2E-11
6	31349584	rs62401893	3E-08
6	31459318	rs2516452	5E-11
6	32618955	rs9271363	9E-20
6	35601785	rs16878812	8E-15
6	36655602	rs9470361	2E-18
7	130915989	rs17686932	3E-12
8	23807119	rs60911071	2E-08
8	58830080	rs826732	6E-10
1	22176789	rs2807367	3E-08
1	22384384	rs34963268	5E-15
1	37995647	rs61776719	5E-17
1	54782179	rs12143541	1E-16
1	70574483	rs3124454	1E-08
1	109822423	rs6660031	5E-08
1	172895084	rs5028523	1E-08
1	183087087	rs8179460	1E-27
1	201916318	rs12137232	8E-09
1	205194670	rs12078075	2E-08
1	221872104	rs6691170	7E-14
1	240245046	rs2078095	2E-08
1	245018119	rs201395236	4E-08
2	97658891	rs11692435	7E-12
2	135649909	rs1446585	5E-06
2	159108040	rs448513	1E-10
2	168168869	rs4668039	3E-08
2	198705994	rs6434979	1E-13
2	199023809	rs4675253	5E-17
2	218326533	rs3731861	8E-17
3	40873748	rs35470271	7E-22
3	52846724	rs2001732	2E-13
3	53037781	rs2581817	5E-13
3	64266748	rs704417	4E-10
3	64638750	rs7623129	2E-08
8	116611854	rs2450115	5E-28
8	116618444	rs16892766	2E-56
8	116778675	rs117079142	1E-28
8	127401060	rs6983267	2E-122
8	127402647	rs7013278	1E-102
8	127569333	rs4733767	4E-12
9	22105928	rs7859362	1E-17
9	34107507	rs11557154	6E-10
9	98917470	rs34405347	1E-09
9	107611538	rs10978941	2E-12
9	110892374	rs10817106	1E-09
9	133817346	rs7038489	1E-08
9	134060541	rs11789898	6E-09
10	8697617	rs11255841	3E-58
10	28808013	rs1775910	8E-08
10	29002627	rs1773860	3E-09
10	50886333	rs10821905	5E-12
10	79059375	rs704017	2E-38
10	79288854	rs1782645	6E-09
10	89814867	rs7071258	3E-06
10	99530544	rs6584283	1E-08
10	99584506	rs35564340	4E-28
10	112520943	rs12241008	1E-27
10	112967084	rs11196172	7E-20
11	10310117	rs4444073	2E-08
